[INFO] Tests run: 18, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 17, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 19, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 94, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 51, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 44, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 346, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 235, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 106, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 38, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 167, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 42, Failures: 0, Errors: 0, Skipped: 0
[INFO] BUILD SUCCESS
