phase	label	cwd	exit_code	seconds	log_file	log_lines
G3a	commit-boundary-behaviour	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	71	raw/commit-boundary-behaviour.log	1618
G3b	start-window-crash	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	156	raw/start-window-crash.log	2758
reflow	flowable-tx-fact	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	66	raw/flowable-tx-fact.log	565
reflow	flow-seam-behaviour	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	69	raw/flow-seam-behaviour.log	1217
reflow	restart-recovery	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	72	raw/restart-recovery.log	849
reflow	lifecycle-behaviour	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	71	raw/lifecycle-behaviour.log	679
reflow	delivery-seam-behaviour	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	98	raw/delivery-seam-behaviour.log	4255
G4	rules-gate	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	3	raw/rules-gate.log	39
modules	module-sw-common	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	2	raw/module-sw-common.log	126
modules	module-sw-bpm-engine	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	8	raw/module-sw-bpm-engine.log	634
modules	module-sw-basic-job-biz	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	4	raw/module-sw-basic-job-biz.log	176
modules	module-sw-basic-notify-biz	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	10	raw/module-sw-basic-notify-biz.log	508
modules	module-sw-basic-iot	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	7	raw/module-sw-basic-iot.log	161
modules	module-sw-bpm-process	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	11	raw/module-sw-bpm-process.log	2148
modules	module-sw-biz-form-biz	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	9	raw/module-sw-biz-form-biz.log	3304
modules	module-sw-biz-openapi-biz	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	5	raw/module-sw-biz-openapi-biz.log	345
full	full-server-gate	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	847	raw/full-server-gate.log	50403
reflow-final	flowable-tx-fact	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	76	raw/flowable-tx-fact.log	565
final	full-server-gate	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	0	824	raw/full-server-gate.log	50316
